links,product_name,product_brand,product_type,product_rating,product_price,image_link
/generic-5-panels-love-flowers-decorations-wall-art-print-pictures-unframed-for-home-43121446.html,5 Panels Love Flowers Decorations Wall Art Print Pictures Unframed For Home,,Posters & Prints,4,"₦ 2,275",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/64/412134/1.jpg?0030
/century-electric-oven-37-litres-14328186.html,Century ELECTRIC OVEN 37 LITRES,Century,Ovens & Toasters,4.6,"₦ 24,950",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/182341/1.jpg?6543
/midea-1.5hp-air-conditioner-with-big-engine-45803125.html,Midea 1.5HP Air Conditioner With Big Engine,Midea,Split-System,3,"₦ 126,900",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/52/130854/1.jpg?2218
/generic-12.5kg-gas-cylinder-of-hosemeter-regulator-clips-36908312.html,"12.5kg Gas Cylinder Of Hose,meter Regulator, Clips",,Gas,4.4,"₦ 18,999",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/21/380963/1.jpg?6956
/intex-inflatable-10in-2-3-person-comfort-sleep-air-mattress-with-pump-black-57458019.html,Intex Inflatable 10in 2-3 Person Comfort Sleep Air Mattress With Pump- Black,Intex,Air Mattresses,4.1,"₦ 14,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/91/085475/1.jpg?7516
/generic-rechargeable-handheld-hurricane-spin-scrubber-jumias-choice-63774721.html,Rechargeable Handheld Hurricane Spin Scrubber (JUMIA'S CHOICE),,Hurricane Candleholders,5,"₦ 6,659",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/12/747736/1.jpg?2789
/generic-mr-steel-electric-food-processor-yam-pounder-meat-grinder-2l-67281277.html,Mr-Steel Electric Food Processor Yam Pounder Meat Grinder 2L,,Food Processors,,"₦ 10,699",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/77/218276/1.jpg?0722
/gas-cylinder-12.5kg-with-metered-regulatorhose-and-clips.-cepsa-mpg1189735.html,"Cepsa Gas Cylinder 12.5kg  With Metered Regulator,hose And Clips.",Cepsa,Gas,4.4,"₦ 22,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/30/070053/1.jpg?1795
/impulse-nylon-sealer-universal-mpg180735.html,Impulse Nylon Sealer,,Sewing Machine Parts & Accessories,1.5,"₦ 6,999",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/89/964831/1.jpg?4172
/generic-5-layer-display-shoe-rack-63257312.html,5 Layer Display Shoe Rack ,,Free Standing Shoe Racks,5,"₦ 2,998",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/21/375236/1.jpg?2945
/generic-portable-12v-dc-ceiling-fan-3-blade-0.7amp-hq-caravan-41665493.html,Portable 12V DC Ceiling Fan 3 Blade 0.7AMP HQ Caravan ,,Wall-Mounted Fans,,"₦ 2,458",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/39/456614/1.jpg?5968
/zebra-design-center-rug-4ft-x-6ft-nobel-mpg236827.html,Nobel Zebra Design Center Rug - 4ft X 6ft,Nobel,Rugs&Carpet,4.9,"₦ 10,499",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/45/890512/1.jpg?8941
/foldable-camp-bed-universal-mpg181545.html,Foldable Camp Bed,,Bedding Accessories,3.2,"₦ 10,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/31/550582/1.jpg?6202
/set-of-3-non-stick-fry-pans-with-6-set-of-non-stick-spoon-blackblue-universal-mpg40119.html,Set Of 3 Non-Stick Fry Pans With 6 Set Of Non-Stick Spoon,,All Pans,3.2,"₦ 4,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/00/553501/1.jpg?3398
/generic-reed-diffuser-120ml-60733173.html,Reed Diffuser - 120ml,,"Reed Diffusers, Oils & Accessories",3.8,"₦ 5,130",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/37/133706/1.jpg?9385
/nulec-1-burner-table-top-gas-cooker-32522976.html,Nulec 1-Burner Table-Top Gas Cooker,Nulec,Cook Top,4.1,"₦ 4,790",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/67/922523/1.jpg?9894
/generic-electric-hand-mixer-whisk-egg-beater-cake-baking-mixer-tool-60049837.html,Electric Hand Mixer Whisk Egg Beater Cake Baking Mixer Tool,,Hand Mixers,,"₦ 7,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/73/894006/1.jpg?5086
/bamboo-chopping-board-and-spoon-set-generic-mpg1185789.html,Bamboo Chopping Board And Spoon Set,,Cutting Boards,4.4,"₦ 3,400",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/39/613983/1.jpg?4270
/generic-aluminium-window-blinds-cream-42772458.html,Aluminium Window Blinds (Cream),,Blinds & Shades,3.8,"₦ 5,999 - ₦ 16,999",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/85/427724/1.jpg?0924
/generic-ultra-soft-indoor-morden-area-rugs-pads-livingroom-rugs-blanket-footcloth-64603158.html,Ultra Soft Indoor Morden Area Rugs Pads Livingroom Rugs Blanket Footcloth,,Bath Rugs,,₦ 660,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/85/130646/1.jpg?8493
/generic-htc-1-digital-lcd-electronic-alarm-clock-hygrometer-weather-station-indoor-room-table-46105394.html,HTC-1 Digital LCD Electronic Alarm Clock Hygrometer Weather Station Indoor Room Table,,Indoor Thermometers,4,"₦ 2,950",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/49/350164/1.jpg?7727
/generic-mini-water-dispenser-rechargeable-electric-and-usb-charging-purifier-water-pump-premium-64429753.html,Mini Water Dispenser - Rechargeable - Electric And Usb Charging - Purifier Water Pump - Premium,,Water Dispensers,4.7,"₦ 3,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/35/792446/1.jpg?0287
/rechargeable-mini-table-fan-with-led-light-kamisafe-mpg298852.html,Kamisafe Rechargeable Mini Table Fan With Led Light,Kamisafe,Specialty Fans,,"₦ 5,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/75/373082/1.jpg?9045
/hisense-1.5hp-split-copper-air-conditioner-66510371.html,Hisense 1.5HP Split Copper Air Conditioner,Hisense,Split-System,4.5,"₦ 135,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/17/301566/1.jpg?3910
/lontor-12-inch-rechargeable-table-fan-46679371.html,Lontor 12 Inch Rechargeable Table Fan,Lontor,Specialty Fans,4.5,"₦ 15,399",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/17/397664/1.jpg?1473
/generic-kitchen-weighing-scale-65956596.html,Kitchen Weighing Scale,,Scales,,"₦ 3,150",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/69/565956/1.jpg?2133
/generic-vintage-miniature-dollhouse-sewing-machine-furniture-table-metal-home-decoration-45196839.html,Vintage Miniature Dollhouse Sewing Machine Furniture Table Metal Home Decoration,,Sewing Machine Parts & Accessories,5,"₦ 1,568",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/93/869154/1.jpg?7640
/generic-23cm-non-stick-rolling-pin-fondant-sugarcraft-cake-66834625.html,23CM  Non-Stick Rolling Pin Fondant Sugarcraft Cake,,Baking Tools & Accessories,,₦ 523,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/52/643866/1.jpg?0779
/18-rechargeable-fanremoteled-light-blackred-century-mpg1266625.html,"Century 18"" Rechargeable Fan+Remote+LED Light BLACK/RED",Century,Rechargeable Fans,4.3,"₦ 27,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/33/819264/1.jpg?3695
/syinix-2hp-split-ac-free-kit-25413879.html,Syinix 2HP Split A/C + Free Kit,Syinix,Split-System,4.1,"₦ 162,999",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/97/831452/1.jpg?3074
/generic-stick-on-wall-clock-diy-large-modern-design-decal-3d-62616552.html,Stick On Wall Clock DIY Large Modern Design Decal 3D,,Wall Clocks,,"₦ 2,899",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/25/561626/1.jpg?1134
/generic-waterproof-oil-proof-self-adhesive-stickers-aluminium-foil-63932200.html,"Waterproof, Oil-proof Self Adhesive Stickers, Aluminium Foil",,Posters & Prints,5,"₦ 6,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/00/223936/1.jpg?2348
/master-chef-4-in-1-juicer-blender-grinder-and-mill-65881957.html,"Master Chef 4-In-1 Juicer, Blender, Grinder And Mill",Master Chef,Small Appliances,,"₦ 16,200",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/75/918856/1.jpg?2585
/qasa-16.2kg-washing-machine-10.2kg-spinning-capacity-6kg-27859561.html,,,Large Appliances,,,
/blender-hot-plate-electric-jug-dish-drainer-generic-mpg338065.html,Blender+ Hot Plate+ Electric Jug+ Dish Drainer,,Kitchen Bundle,3,"₦ 13,999",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/88/979804/1.jpg?2980
/generic-fluffy-rugs-anti-slip-shaggy-area-rug-super-soft-carpet-mat-plush-carpets-home-wellmake-66261689.html,Fluffy Rugs Anti-Slip Shaggy Area Rug Super Soft Carpet Mat Plush Carpets Home Wellmake,,Area Rugs,,₦ 488,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/98/616266/1.jpg?4714
/awesome-3-wise-swag-wall-canvas-66401110.html,Awesome 3 Wise Swag Wall Canvas,Awesome,Paintings,,"₦ 4,049 - ₦ 7,199",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/01/110466/1.jpg?3769
/generic-bulbs-waterfall-christmas-curtain-lights-67176167.html,Bulbs Waterfall Christmas Curtain Lights,,Outdoor String Lights,,"₦ 14,400",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/76/167176/1.jpg?7665
/generic-non-stick-copper-square-pan-with-ceramic-frying-pan-copper-oven-dishwasher-chef-square-fry-pan-64969416.html,Non-stick Copper Square Pan With Ceramic Frying Pan Copper Oven & Dishwasher Chef Square Fry Pan,,Kitchen & Dining Furniture,,"₦ 5,279",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/61/496946/1.jpg?7926
/generic-duct-tape-waterproof-adhesive-1.8960yards-64444294.html,Duct Tape WATERPROOF Adhesive 1.89*60yards,,Adhesives & Glue,4.7,"₦ 2,800",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/49/244446/1.jpg?6686
/portable-toothbrush-holder-toothpaste-dispenser-generic-mpg1225076.html,Portable Toothbrush Holder Toothpaste Dispenser With Free Gift,,Toilet Brushes & Holders,3.2,"₦ 2,100",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/86/696834/1.jpg?4151
/christmas-6ft-xmas-tree-led-lights-balls-for-decoration-67324170.html,Christmas 6ft Xmas Tree + Led Lights + Balls For Decoration,Christmas,Trees,,"₦ 16,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/07/142376/1.jpg?4486
/ox-short-blade-ceiling-fan-25inches-62128561.html,Ox Short Blade Ceiling Fan 25inches,Ox,Ceiling Fans,,"₦ 8,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/16/582126/1.jpg?5192
/philips-perfectcare-steam-iron-gc392026-58287535.html,Philips Perfectcare Steam Iron- GC3920/26,Philips,Garment Steamers,4,"₦ 34,800",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/578285/1.jpg?1924
/acer-x118h-dlp-projector-3600-lumens-hdmi-usb-3d-acer-mpg237696.html,"Acer X118H DLP PROJECTOR 3600 LUMENS, HDMI, USB, 3D",Acer,Video Projectors,4.8,"₦ 144,900",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/01/514972/1.jpg?7928
/generic-stick-on-wall-clock-diy-large-modern-design-decal-3d-54149274.html,Stick On Wall Clock DIY Large Modern Design Decal 3D ,,Wall Clocks,,₦ 890,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/47/294145/1.jpg?6716
/generic-8-in1-multi-programme-non-oil-halogen-oven-air-fryer-20l-65697601.html,8 In1 Multi-Programme Non-oil Halogen Oven + Air Fryer (20L),,Air Fryers,5,"₦ 29,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/10/679656/1.jpg?9587
/generic-vintage-miniature-dollhouse-sewing-machine-furniture-table-metal-home-decoration-7890668.html,Vintage Miniature Dollhouse Sewing Machine Furniture Table Metal Home Decoration,,Sewing Machines,4,"₦ 1,726",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/86/60987/1.jpg?8221
/8-colors-indoor-toilet-lighting-night-motion-sensor-led-generic-mpg1185011.html,8 Colors Indoor Toilet Lighting Night (Motion Sensor LED),,Home Décor Accents,3.8,"₦ 2,209",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/12/829044/1.jpg?7255
